Wavelength (nm),Rx (dB),Tx (dB)
1525.50909,-48.4283349,-0.1954382
1525.511526,-50.1302036,-0.0932308
1525.513963,-48.5501648,-0.1661001
1525.516399,-47.7313244,-0.0968539
1525.518836,-46.301356,-0.1666082
1525.521272,-45.3615455,-0.1068725
1525.523709,-45.1623095,-0.172489
1525.526145,-43.4293571,-0.1177585
1525.528582,-43.4683642,-0.1739497
1525.531018,-43.3591348,-0.1062411
1525.533454,-43.0270996,-0.1437824
1525.535891,-42.0650619,-0.1201628
1525.538327,-42.0663567,-0.1585293
1525.540764,-41.9240686,-0.1097744
1525.5432,-41.1289809,-0.1505112
1525.545637,-41.0129219,-0.1257874
1525.548073,-41.7014808,-0.157014
1525.55051,-42.1274276,-0.1370967
1525.552946,-42.2443583,-0.1525537
1525.555383,-42.2762185,-0.1300287
1525.557819,-42.9247439,-0.142859
1525.560256,-43.7039917,-0.1280427
1525.562692,-43.5623532,-0.1423177
1525.565129,-43.9717229,-0.1324779
1525.567565,-44.1558712,-0.1420774
1525.570002,-44.8056116,-0.1322194
1525.572438,-46.1354258,-0.1307398
1525.574875,-46.5041904,-0.1153803
1525.577311,-46.1427958,-0.1276294
1525.579748,-47.3263122,-0.1255718
1525.582184,-47.9062518,-0.136232
1525.58462,-48.2546597,-0.1341808
1525.587057,-49.1410633,-0.1482316
1525.589493,-49.3149015,-0.135312
1525.59193,-49.8756355,-0.1392892
1525.594366,-51.5447546,-0.1361303
1525.596803,-53.0046449,-0.1332613
1525.599239,-53.6130926,-0.1285275
1525.601676,-54.4686485,-0.1280289
1525.604112,-53.7888027,-0.1301953
1525.606549,-51.0656119,-0.1338945
1525.608985,-48.9927147,-0.1365221
1525.611422,-47.6247349,-0.1321295
1525.613858,-45.9152853,-0.1416345
1525.616295,-44.8600154,-0.1381632
1525.618731,-43.2426463,-0.1280353
1525.621168,-41.8352301,-0.1251535
1525.623604,-41.2016135,-0.1301656
1525.626041,-40.4799504,-0.129329
1525.628477,-39.7593299,-0.1266535
