3/04/2024,2:17:33 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1600,-0.12357
1600.01,-0.12424
1600.02,-0.12391
1600.03,-0.12481
1600.04,-0.12366
1600.05,-0.12367
1600.06,-0.12384
1600.07,-0.12334
1600.08,-0.1237
1600.09,-0.12367
1600.1,-0.12379
1600.11,-0.12409
1600.12,-0.1237
1600.13,-0.12373
1600.14,-0.12431
1600.15,-0.12407
1600.16,-0.12358
1600.17,-0.12398
1600.18,-0.12373
1600.19,-0.12415
1600.2,-0.12386
1600.21,-0.12402
1600.22,-0.12273
1600.23,-0.12521
1600.24,-0.12411
1600.25,-0.12516
1600.26,-0.12393
1600.27,-0.12423
1600.28,-0.12438
1600.29,-0.12473
1600.3,-0.12403
1600.31,-0.12445
1600.32,-0.12473
1600.33,-0.12465
1600.34,-0.12485
1600.35,-0.12513
1600.36,-0.12501
1600.37,-0.12499
1600.38,-0.12453
1600.39,-0.12483
1600.4,-0.12448
1600.41,-0.12511
1600.42,-0.12457
1600.43,-0.12582
1600.44,-0.12534
1600.45,-0.12516
1600.46,-0.12538
1600.47,-0.1256
1600.48,-0.1253
1600.49,-0.12546
1600.5,-0.12532
1600.51,-0.1259
1600.52,-0.1253
1600.53,-0.12578
1600.54,-0.12506
1600.55,-0.12599
1600.56,-0.12583
1600.57,-0.12583
1600.58,-0.12622
1600.59,-0.12641
1600.6,-0.1264
1600.61,-0.12536
1600.62,-0.12621
1600.63,-0.12567
1600.64,-0.12594
1600.65,-0.12562
1600.66,-0.12579
1600.67,-0.12581
1600.68,-0.12656
1600.69,-0.12678
1600.7,-0.12564
1600.71,-0.12646
1600.72,-0.12577
1600.73,-0.12629
1600.74,-0.12562
