Wavelength (nm),Rx (dB),Tx (dB)
1525.465546,-46.0347268,-0.2623438
1525.468014,-46.0609827,-0.0495038
1525.470483,-46.0625385,-0.2551842
1525.472952,-46.2108576,-0.0856205
1525.47542,-45.8083888,-0.2301414
1525.477889,-45.4690289,-0.0961017
1525.480358,-45.709659,-0.1950229
1525.482826,-45.7855615,-0.1173432
1525.485295,-46.0503658,-0.1940975
1525.487763,-46.3412601,-0.1235513
1525.490232,-46.979816,-0.1976373
1525.492701,-46.5147265,-0.1461138
1525.495169,-46.7394599,-0.1883387
1525.497638,-47.0453249,-0.1489364
1525.500107,-48.2661272,-0.1849464
1525.502575,-48.7696165,-0.1604811
1525.505044,-48.0558824,-0.177937
1525.507512,-47.7479066,-0.1667012
1525.509981,-47.7076311,-0.1831395
1525.51245,-48.3540252,-0.1868659
1525.514918,-48.9227538,-0.1778449
1525.517387,-48.1629389,-0.1676722
1525.519856,-47.5068668,-0.1682297
1525.522324,-47.7534754,-0.1793497
1525.524793,-47.7056325,-0.161085
1525.527262,-47.4661088,-0.186869
1525.52973,-48.2352068,-0.1692803
1525.532199,-47.2503,-0.1942551
1525.534667,-47.3295719,-0.1653454
1525.537136,-48.3431109,-0.1874402
1525.539605,-47.6310591,-0.1644593
1525.542073,-47.6257866,-0.1780998
1525.544542,-47.826289,-0.1475431
1525.547011,-49.5277412,-0.1829801
1525.549479,-48.9103984,-0.1516602
1525.551948,-48.4138199,-0.189955
1525.554417,-49.3178803,-0.1315131
1525.556885,-49.2528641,-0.1993833
1525.559354,-49.3441917,-0.1305339
1525.561822,-48.7942045,-0.1696717
1525.564291,-49.0914812,-0.1194225
1525.56676,-48.4939302,-0.1711552
1525.569228,-49.1975142,-0.1381203
1525.571697,-50.8146902,-0.1843179
1525.574166,-49.9904935,-0.1589872
1525.576634,-49.599036,-0.1576543
1525.579103,-50.0372146,-0.1415242
1525.581572,-49.6811185,-0.1635457
1525.58404,-49.4641382,-0.1443458
1525.586509,-50.5146344,-0.1606633
1525.588977,-50.5725962,-0.1554464
1525.591446,-49.6889836,-0.1728962
1525.593915,-47.8926375,-0.1490248
1525.596383,-47.5570386,-0.1495534
1525.598852,-49.1555402,-0.1521758
1525.601321,-49.00343,-0.1485927
1525.603789,-50.2544141,-0.1422351
1525.606258,-50.9446581,-0.1557957
1525.608727,-50.3972097,-0.1554691
1525.611195,-51.5080162,-0.1501787
1525.613664,-52.5582302,-0.1565743
1525.616132,-53.3187313,-0.1419161
1525.618601,-52.4694168,-0.1525709
1525.62107,-52.9058588,-0.1466553
1525.623538,-52.0527197,-0.1639502
1525.626007,-50.5334756,-0.1602922
1525.628476,-50.7217879,-0.1580812
1525.630944,-51.251085,-0.1457913
1525.633413,-51.7057177,-0.1650343
1525.635881,-50.9470988,-0.1471177
1525.63835,-51.6828117,-0.1513068
1525.640819,-51.9532405,-0.1396477
1525.643287,-50.0796229,-0.157054
1525.645756,-50.3049137,-0.143326
1525.648225,-52.7821623,-0.1428831
1525.650693,-49.5827829,-0.1471888
1525.653162,-50.8221912,-0.1683763
1525.655631,-52.5789823,-0.138122
1525.658099,-49.950207,-0.1552433
1525.660568,-49.5701299,-0.1451721
1525.663036,-51.6981858,-0.1506001
1525.665505,-51.9317495,-0.1424872
