# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun 12 01:29:03 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CH4
1.600000000e+00 9.99999e-01 9.99999e-01
1.600010000e+00 1.00000e+00 1.00000e+00
1.600020000e+00 1.00000e+00 1.00000e+00
1.600030000e+00 1.00000e+00 1.00000e+00
1.600040000e+00 1.00000e+00 1.00000e+00
1.600050000e+00 1.00000e+00 1.00000e+00
1.600060000e+00 1.00000e+00 1.00000e+00
1.600070000e+00 1.00000e+00 1.00000e+00
1.600080000e+00 1.00000e+00 1.00000e+00
1.600090000e+00 1.00000e+00 1.00000e+00
1.600100000e+00 1.00000e+00 1.00000e+00
1.600110000e+00 9.99999e-01 9.99999e-01
1.600120000e+00 9.99999e-01 9.99999e-01
1.600130000e+00 9.99998e-01 9.99998e-01
1.600140000e+00 9.99999e-01 9.99999e-01
1.600150000e+00 9.99999e-01 9.99999e-01
1.600160000e+00 1.00000e+00 1.00000e+00
1.600170000e+00 1.00000e+00 1.00000e+00
1.600180000e+00 1.00000e+00 1.00000e+00
1.600190000e+00 1.00000e+00 1.00000e+00
1.600200000e+00 1.00000e+00 1.00000e+00
1.600210000e+00 1.00000e+00 1.00000e+00
1.600220000e+00 1.00000e+00 1.00000e+00
1.600230000e+00 1.00000e+00 1.00000e+00
1.600240000e+00 1.00000e+00 1.00000e+00
1.600250000e+00 1.00000e+00 1.00000e+00
1.600260000e+00 1.00000e+00 1.00000e+00
1.600270000e+00 1.00000e+00 1.00000e+00
1.600280000e+00 1.00000e+00 1.00000e+00
1.600290000e+00 1.00000e+00 1.00000e+00
1.600300000e+00 1.00000e+00 1.00000e+00
1.600310000e+00 1.00000e+00 1.00000e+00
1.600320000e+00 1.00000e+00 1.00000e+00
1.600330000e+00 1.00000e+00 1.00000e+00
1.600340000e+00 1.00000e+00 1.00000e+00
1.600350000e+00 1.00000e+00 1.00000e+00
1.600360000e+00 1.00000e+00 1.00000e+00
1.600370000e+00 1.00000e+00 1.00000e+00
1.600380000e+00 1.00000e+00 1.00000e+00
1.600390000e+00 1.00000e+00 1.00000e+00
1.600400000e+00 9.99999e-01 9.99999e-01
1.600410000e+00 9.99999e-01 9.99999e-01
1.600420000e+00 9.99999e-01 9.99999e-01
1.600430000e+00 9.99999e-01 9.99999e-01
1.600440000e+00 9.99999e-01 9.99999e-01
1.600450000e+00 9.99999e-01 9.99999e-01
1.600460000e+00 9.99999e-01 9.99999e-01
1.600470000e+00 9.99999e-01 9.99999e-01
1.600480000e+00 9.99999e-01 9.99999e-01
1.600490000e+00 9.99999e-01 9.99999e-01
1.600500000e+00 9.99999e-01 9.99999e-01
1.600510000e+00 9.99999e-01 9.99999e-01
1.600520000e+00 9.99998e-01 9.99998e-01
1.600530000e+00 9.99998e-01 9.99998e-01
1.600540000e+00 9.99998e-01 9.99998e-01
1.600550000e+00 9.99997e-01 9.99997e-01
1.600560000e+00 9.99996e-01 9.99996e-01
1.600570000e+00 9.99995e-01 9.99995e-01
1.600580000e+00 9.99993e-01 9.99993e-01
1.600590000e+00 9.99989e-01 9.99989e-01
1.600600000e+00 9.99979e-01 9.99979e-01
1.600610000e+00 9.99946e-01 9.99946e-01
1.600620000e+00 9.99874e-01 9.99874e-01
1.600630000e+00 9.99825e-01 9.99825e-01
1.600640000e+00 9.99906e-01 9.99906e-01
1.600650000e+00 9.99965e-01 9.99965e-01
1.600660000e+00 9.99980e-01 9.99980e-01
1.600670000e+00 9.99980e-01 9.99980e-01
1.600680000e+00 9.99969e-01 9.99969e-01
1.600690000e+00 9.99982e-01 9.99982e-01
1.600700000e+00 9.99987e-01 9.99987e-01
1.600710000e+00 9.99978e-01 9.99978e-01
1.600720000e+00 9.99956e-01 9.99956e-01
1.600730000e+00 9.99977e-01 9.99977e-01
1.600740000e+00 9.99991e-01 9.99991e-01
1.600750000e+00 9.99995e-01 9.99995e-01
1.600760000e+00 9.99996e-01 9.99996e-01
1.600770000e+00 9.99997e-01 9.99997e-01
1.600780000e+00 9.99998e-01 9.99998e-01
1.600790000e+00 9.99998e-01 9.99998e-01
1.600800000e+00 9.99998e-01 9.99998e-01
1.600810000e+00 9.99998e-01 9.99998e-01
1.600820000e+00 9.99998e-01 9.99998e-01
1.600830000e+00 9.99998e-01 9.99998e-01
1.600840000e+00 9.99998e-01 9.99998e-01
1.600850000e+00 9.99997e-01 9.99997e-01
1.600860000e+00 9.99997e-01 9.99997e-01
1.600870000e+00 9.99995e-01 9.99995e-01
1.600880000e+00 9.99989e-01 9.99989e-01
1.600890000e+00 9.99989e-01 9.99989e-01
1.600900000e+00 9.99982e-01 9.99982e-01
1.600910000e+00 9.99963e-01 9.99963e-01
1.600920000e+00 9.99981e-01 9.99981e-01
1.600930000e+00 9.99991e-01 9.99991e-01
1.600940000e+00 9.99994e-01 9.99994e-01
1.600950000e+00 9.99994e-01 9.99994e-01
1.600960000e+00 9.99993e-01 9.99993e-01
1.600970000e+00 9.99990e-01 9.99990e-01
1.600980000e+00 9.99982e-01 9.99982e-01
1.600990000e+00 9.99959e-01 9.99959e-01
1.601000000e+00 9.99900e-01 9.99900e-01
1.601010000e+00 9.99939e-01 9.99939e-01
1.601020000e+00 9.99964e-01 9.99964e-01
1.601030000e+00 9.99949e-01 9.99949e-01
1.601040000e+00 9.99919e-01 9.99919e-01
1.601050000e+00 9.99849e-01 9.99849e-01
1.601060000e+00 9.99862e-01 9.99862e-01
1.601070000e+00 9.99893e-01 9.99893e-01
1.601080000e+00 9.99946e-01 9.99946e-01
1.601090000e+00 9.99969e-01 9.99969e-01
1.601100000e+00 9.99966e-01 9.99966e-01
1.601110000e+00 9.99953e-01 9.99953e-01
1.601120000e+00 9.99934e-01 9.99934e-01
1.601130000e+00 9.99831e-01 9.99831e-01
1.601140000e+00 9.99886e-01 9.99886e-01
1.601150000e+00 9.99952e-01 9.99952e-01
1.601160000e+00 9.99976e-01 9.99976e-01
1.601170000e+00 9.99979e-01 9.99979e-01
1.601180000e+00 9.99964e-01 9.99964e-01
1.601190000e+00 9.99938e-01 9.99938e-01
1.601200000e+00 9.99972e-01 9.99972e-01
1.601210000e+00 9.99988e-01 9.99988e-01
1.601220000e+00 9.99993e-01 9.99993e-01
1.601230000e+00 9.99995e-01 9.99995e-01
1.601240000e+00 9.99996e-01 9.99996e-01
1.601250000e+00 9.99996e-01 9.99996e-01
1.601260000e+00 9.99997e-01 9.99997e-01
1.601270000e+00 9.99996e-01 9.99996e-01
1.601280000e+00 9.99996e-01 9.99996e-01
1.601290000e+00 9.99993e-01 9.99993e-01
1.601300000e+00 9.99982e-01 9.99982e-01
1.601310000e+00 9.99969e-01 9.99969e-01
1.601320000e+00 9.99985e-01 9.99985e-01
1.601330000e+00 9.99990e-01 9.99990e-01
1.601340000e+00 9.99986e-01 9.99986e-01
1.601350000e+00 9.99984e-01 9.99984e-01
1.601360000e+00 9.99989e-01 9.99989e-01
1.601370000e+00 9.99978e-01 9.99978e-01
1.601380000e+00 9.99978e-01 9.99978e-01
1.601390000e+00 9.99980e-01 9.99980e-01
1.601400000e+00 9.99974e-01 9.99974e-01
1.601410000e+00 9.99983e-01 9.99983e-01
1.601420000e+00 9.99994e-01 9.99994e-01
1.601430000e+00 9.99997e-01 9.99997e-01
1.601440000e+00 9.99998e-01 9.99998e-01
1.601450000e+00 9.99998e-01 9.99998e-01
1.601460000e+00 9.99999e-01 9.99999e-01
1.601470000e+00 9.99999e-01 9.99999e-01
1.601480000e+00 9.99999e-01 9.99999e-01
1.601490000e+00 9.99999e-01 9.99999e-01
1.601500000e+00 9.99999e-01 9.99999e-01
1.601510000e+00 9.99999e-01 9.99999e-01
1.601520000e+00 9.99999e-01 9.99999e-01
1.601530000e+00 9.99999e-01 9.99999e-01
1.601540000e+00 9.99999e-01 9.99999e-01
1.601550000e+00 9.99999e-01 9.99999e-01
1.601560000e+00 9.99999e-01 9.99999e-01
1.601570000e+00 9.99999e-01 9.99999e-01
1.601580000e+00 9.99999e-01 9.99999e-01
1.601590000e+00 9.99999e-01 9.99999e-01
1.601600000e+00 9.99999e-01 9.99999e-01
1.601610000e+00 9.99999e-01 9.99999e-01
1.601620000e+00 9.99999e-01 9.99999e-01
1.601630000e+00 9.99999e-01 9.99999e-01
1.601640000e+00 9.99999e-01 9.99999e-01
1.601650000e+00 9.99999e-01 9.99999e-01
1.601660000e+00 9.99999e-01 9.99999e-01
1.601670000e+00 9.99998e-01 9.99998e-01
1.601680000e+00 9.99996e-01 9.99996e-01
1.601690000e+00 9.99988e-01 9.99988e-01
1.601700000e+00 9.99985e-01 9.99985e-01
1.601710000e+00 9.99995e-01 9.99995e-01
1.601720000e+00 9.99998e-01 9.99998e-01
1.601730000e+00 9.99999e-01 9.99999e-01
1.601740000e+00 9.99999e-01 9.99999e-01
1.601750000e+00 9.99999e-01 9.99999e-01
1.601760000e+00 9.99999e-01 9.99999e-01
1.601770000e+00 9.99999e-01 9.99999e-01
1.601780000e+00 9.99999e-01 9.99999e-01
1.601790000e+00 9.99998e-01 9.99998e-01
1.601800000e+00 9.99998e-01 9.99998e-01
1.601810000e+00 9.99997e-01 9.99997e-01
1.601820000e+00 9.99996e-01 9.99996e-01
1.601830000e+00 9.99992e-01 9.99992e-01
1.601840000e+00 9.99981e-01 9.99981e-01
1.601850000e+00 9.99943e-01 9.99943e-01
1.601860000e+00 9.99949e-01 9.99949e-01
1.601870000e+00 9.99980e-01 9.99980e-01
1.601880000e+00 9.99987e-01 9.99987e-01
1.601890000e+00 9.99978e-01 9.99978e-01
1.601900000e+00 9.99980e-01 9.99980e-01
1.601910000e+00 9.99992e-01 9.99992e-01
1.601920000e+00 9.99996e-01 9.99996e-01
1.601930000e+00 9.99996e-01 9.99996e-01
1.601940000e+00 9.99994e-01 9.99994e-01
1.601950000e+00 9.99986e-01 9.99986e-01
1.601960000e+00 9.99991e-01 9.99991e-01
1.601970000e+00 9.99996e-01 9.99996e-01
1.601980000e+00 9.99997e-01 9.99997e-01
1.601990000e+00 9.99995e-01 9.99995e-01
1.602000000e+00 9.99989e-01 9.99989e-01
1.602010000e+00 9.99992e-01 9.99992e-01
1.602020000e+00 9.99996e-01 9.99996e-01
1.602030000e+00 9.99997e-01 9.99997e-01
1.602040000e+00 9.99997e-01 9.99997e-01
1.602050000e+00 9.99997e-01 9.99997e-01
1.602060000e+00 9.99995e-01 9.99995e-01
1.602070000e+00 9.99988e-01 9.99988e-01
1.602080000e+00 9.99970e-01 9.99970e-01
1.602090000e+00 9.99972e-01 9.99972e-01
1.602100000e+00 9.99989e-01 9.99989e-01
1.602110000e+00 9.99992e-01 9.99992e-01
1.602120000e+00 9.99985e-01 9.99985e-01
1.602130000e+00 9.99975e-01 9.99975e-01
1.602140000e+00 9.99988e-01 9.99988e-01
1.602150000e+00 9.99992e-01 9.99992e-01
1.602160000e+00 9.99989e-01 9.99989e-01
1.602170000e+00 9.99986e-01 9.99986e-01
1.602180000e+00 9.99982e-01 9.99982e-01
1.602190000e+00 9.99957e-01 9.99957e-01
1.602200000e+00 9.99889e-01 9.99889e-01
1.602210000e+00 9.99943e-01 9.99943e-01
1.602220000e+00 9.99980e-01 9.99980e-01
1.602230000e+00 9.99990e-01 9.99990e-01
1.602240000e+00 9.99994e-01 9.99994e-01
1.602250000e+00 9.99996e-01 9.99996e-01
1.602260000e+00 9.99997e-01 9.99997e-01
1.602270000e+00 9.99998e-01 9.99998e-01
1.602280000e+00 9.99998e-01 9.99998e-01
1.602290000e+00 9.99999e-01 9.99999e-01
1.602300000e+00 9.99999e-01 9.99999e-01
1.602310000e+00 9.99999e-01 9.99999e-01
1.602320000e+00 9.99999e-01 9.99999e-01
1.602330000e+00 9.99999e-01 9.99999e-01
1.602340000e+00 9.99999e-01 9.99999e-01
1.602350000e+00 9.99999e-01 9.99999e-01
1.602360000e+00 9.99999e-01 9.99999e-01
1.602370000e+00 9.99999e-01 9.99999e-01
1.602380000e+00 9.99998e-01 9.99998e-01
1.602390000e+00 9.99996e-01 9.99996e-01
1.602400000e+00 9.99987e-01 9.99987e-01
1.602410000e+00 9.99973e-01 9.99973e-01
1.602420000e+00 9.99988e-01 9.99988e-01
1.602430000e+00 9.99996e-01 9.99996e-01
1.602440000e+00 9.99998e-01 9.99998e-01
1.602450000e+00 9.99998e-01 9.99998e-01
1.602460000e+00 9.99997e-01 9.99997e-01
1.602470000e+00 9.99991e-01 9.99991e-01
1.602480000e+00 9.99994e-01 9.99994e-01
1.602490000e+00 9.99998e-01 9.99998e-01
1.602500000e+00 9.99999e-01 9.99999e-01
1.602510000e+00 9.99999e-01 9.99999e-01
1.602520000e+00 9.99999e-01 9.99999e-01
1.602530000e+00 9.99999e-01 9.99999e-01
1.602540000e+00 9.99999e-01 9.99999e-01
1.602550000e+00 9.99999e-01 9.99999e-01
1.602560000e+00 9.99999e-01 9.99999e-01
1.602570000e+00 9.99999e-01 9.99999e-01
1.602580000e+00 9.99998e-01 9.99998e-01
1.602590000e+00 9.99998e-01 9.99998e-01
1.602600000e+00 9.99999e-01 9.99999e-01
1.602610000e+00 9.99999e-01 9.99999e-01
1.602620000e+00 1.00000e+00 1.00000e+00
1.602630000e+00 1.00000e+00 1.00000e+00
1.602640000e+00 1.00000e+00 1.00000e+00
1.602650000e+00 1.00000e+00 1.00000e+00
1.602660000e+00 1.00000e+00 1.00000e+00
1.602670000e+00 1.00000e+00 1.00000e+00
1.602680000e+00 1.00000e+00 1.00000e+00
1.602690000e+00 1.00000e+00 1.00000e+00
1.602700000e+00 1.00000e+00 1.00000e+00
1.602710000e+00 1.00000e+00 1.00000e+00
1.602720000e+00 1.00000e+00 1.00000e+00
1.602730000e+00 1.00000e+00 1.00000e+00
1.602740000e+00 1.00000e+00 1.00000e+00
1.602750000e+00 1.00000e+00 1.00000e+00
1.602760000e+00 1.00000e+00 1.00000e+00
1.602770000e+00 1.00000e+00 1.00000e+00
1.602780000e+00 1.00000e+00 1.00000e+00
1.602790000e+00 9.99999e-01 9.99999e-01
1.602800000e+00 9.99999e-01 9.99999e-01
1.602810000e+00 9.99999e-01 9.99999e-01
1.602820000e+00 9.99999e-01 9.99999e-01
1.602830000e+00 9.99999e-01 9.99999e-01
1.602840000e+00 9.99999e-01 9.99999e-01
1.602850000e+00 9.99999e-01 9.99999e-01
1.602860000e+00 9.99998e-01 9.99998e-01
1.602870000e+00 9.99998e-01 9.99998e-01
1.602880000e+00 9.99996e-01 9.99996e-01
1.602890000e+00 9.99990e-01 9.99990e-01
1.602900000e+00 9.99978e-01 9.99978e-01
1.602910000e+00 9.99987e-01 9.99987e-01
1.602920000e+00 9.99988e-01 9.99988e-01
1.602930000e+00 9.99971e-01 9.99971e-01
1.602940000e+00 9.99969e-01 9.99969e-01
1.602950000e+00 9.99988e-01 9.99988e-01
1.602960000e+00 9.99992e-01 9.99992e-01
1.602970000e+00 9.99985e-01 9.99985e-01
1.602980000e+00 9.99984e-01 9.99984e-01
1.602990000e+00 9.99995e-01 9.99995e-01
1.603000000e+00 9.99997e-01 9.99997e-01
1.603010000e+00 9.99998e-01 9.99998e-01
1.603020000e+00 9.99999e-01 9.99999e-01
1.603030000e+00 9.99999e-01 9.99999e-01
1.603040000e+00 9.99999e-01 9.99999e-01
1.603050000e+00 9.99999e-01 9.99999e-01
1.603060000e+00 9.99999e-01 9.99999e-01
1.603070000e+00 9.99999e-01 9.99999e-01
1.603080000e+00 9.99998e-01 9.99998e-01
1.603090000e+00 9.99998e-01 9.99998e-01
1.603100000e+00 9.99997e-01 9.99997e-01
1.603110000e+00 9.99993e-01 9.99993e-01
1.603120000e+00 9.99980e-01 9.99980e-01
1.603130000e+00 9.99978e-01 9.99978e-01
1.603140000e+00 9.99992e-01 9.99992e-01
1.603150000e+00 9.99996e-01 9.99996e-01
1.603160000e+00 9.99997e-01 9.99997e-01
1.603170000e+00 9.99998e-01 9.99998e-01
1.603180000e+00 9.99998e-01 9.99998e-01
1.603190000e+00 9.99997e-01 9.99997e-01
1.603200000e+00 9.99997e-01 9.99997e-01
1.603210000e+00 9.99996e-01 9.99996e-01
1.603220000e+00 9.99994e-01 9.99994e-01
1.603230000e+00 9.99990e-01 9.99990e-01
1.603240000e+00 9.99976e-01 9.99976e-01
1.603250000e+00 9.99961e-01 9.99961e-01
1.603260000e+00 9.99909e-01 9.99909e-01
1.603270000e+00 9.99919e-01 9.99919e-01
1.603280000e+00 9.99927e-01 9.99927e-01
1.603290000e+00 9.99963e-01 9.99963e-01
1.603300000e+00 9.99985e-01 9.99985e-01
1.603310000e+00 9.99992e-01 9.99992e-01
1.603320000e+00 9.99995e-01 9.99995e-01
1.603330000e+00 9.99996e-01 9.99996e-01
1.603340000e+00 9.99997e-01 9.99997e-01
1.603350000e+00 9.99998e-01 9.99998e-01
1.603360000e+00 9.99998e-01 9.99998e-01
1.603370000e+00 9.99998e-01 9.99998e-01
1.603380000e+00 9.99998e-01 9.99998e-01
1.603390000e+00 9.99999e-01 9.99999e-01
1.603400000e+00 9.99999e-01 9.99999e-01
1.603410000e+00 9.99999e-01 9.99999e-01
1.603420000e+00 9.99999e-01 9.99999e-01
1.603430000e+00 9.99999e-01 9.99999e-01
1.603440000e+00 9.99999e-01 9.99999e-01
1.603450000e+00 9.99998e-01 9.99998e-01
1.603460000e+00 9.99998e-01 9.99998e-01
1.603470000e+00 9.99998e-01 9.99998e-01
1.603480000e+00 9.99998e-01 9.99998e-01
1.603490000e+00 9.99997e-01 9.99997e-01
1.603500000e+00 9.99994e-01 9.99994e-01
1.603510000e+00 9.99982e-01 9.99982e-01
1.603520000e+00 9.99985e-01 9.99985e-01
1.603530000e+00 9.99993e-01 9.99993e-01
1.603540000e+00 9.99994e-01 9.99994e-01
1.603550000e+00 9.99994e-01 9.99994e-01
1.603560000e+00 9.99991e-01 9.99991e-01
1.603570000e+00 9.99986e-01 9.99986e-01
1.603580000e+00 9.99973e-01 9.99973e-01
1.603590000e+00 9.99924e-01 9.99924e-01
1.603600000e+00 9.99872e-01 9.99872e-01
1.603610000e+00 9.99930e-01 9.99930e-01
1.603620000e+00 9.99905e-01 9.99905e-01
1.603630000e+00 9.99878e-01 9.99878e-01
1.603640000e+00 9.99948e-01 9.99948e-01
1.603650000e+00 9.99957e-01 9.99957e-01
1.603660000e+00 9.99969e-01 9.99969e-01
1.603670000e+00 9.99987e-01 9.99987e-01
1.603680000e+00 9.99992e-01 9.99992e-01
1.603690000e+00 9.99995e-01 9.99995e-01
1.603700000e+00 9.99996e-01 9.99996e-01
1.603710000e+00 9.99997e-01 9.99997e-01
1.603720000e+00 9.99997e-01 9.99997e-01
1.603730000e+00 9.99997e-01 9.99997e-01
1.603740000e+00 9.99998e-01 9.99998e-01
1.603750000e+00 9.99998e-01 9.99998e-01
1.603760000e+00 9.99998e-01 9.99998e-01
1.603770000e+00 9.99998e-01 9.99998e-01
1.603780000e+00 9.99997e-01 9.99997e-01
1.603790000e+00 9.99997e-01 9.99997e-01
1.603800000e+00 9.99996e-01 9.99996e-01
1.603810000e+00 9.99993e-01 9.99993e-01
1.603820000e+00 9.99984e-01 9.99984e-01
1.603830000e+00 9.99963e-01 9.99963e-01
1.603840000e+00 9.99979e-01 9.99979e-01
1.603850000e+00 9.99983e-01 9.99983e-01
1.603860000e+00 9.99984e-01 9.99984e-01
1.603870000e+00 9.99992e-01 9.99992e-01
1.603880000e+00 9.99994e-01 9.99994e-01
1.603890000e+00 9.99993e-01 9.99993e-01
1.603900000e+00 9.99989e-01 9.99989e-01
1.603910000e+00 9.99975e-01 9.99975e-01
1.603920000e+00 9.99929e-01 9.99929e-01
1.603930000e+00 9.99950e-01 9.99950e-01
1.603940000e+00 9.99982e-01 9.99982e-01
1.603950000e+00 9.99990e-01 9.99990e-01
1.603960000e+00 9.99993e-01 9.99993e-01
1.603970000e+00 9.99993e-01 9.99993e-01
1.603980000e+00 9.99991e-01 9.99991e-01
1.603990000e+00 9.99984e-01 9.99984e-01
1.604000000e+00 9.99959e-01 9.99959e-01
1.604010000e+00 9.99954e-01 9.99954e-01
1.604020000e+00 9.99979e-01 9.99979e-01
1.604030000e+00 9.99984e-01 9.99984e-01
1.604040000e+00 9.99974e-01 9.99974e-01
1.604050000e+00 9.99929e-01 9.99929e-01
1.604060000e+00 9.99928e-01 9.99928e-01
1.604070000e+00 9.99969e-01 9.99969e-01
1.604080000e+00 9.99972e-01 9.99972e-01
1.604090000e+00 9.99979e-01 9.99979e-01
1.604100000e+00 9.99983e-01 9.99983e-01
1.604110000e+00 9.99987e-01 9.99987e-01
1.604120000e+00 9.99983e-01 9.99983e-01
1.604130000e+00 9.99989e-01 9.99989e-01
1.604140000e+00 9.99995e-01 9.99995e-01
1.604150000e+00 9.99996e-01 9.99996e-01
1.604160000e+00 9.99997e-01 9.99997e-01
1.604170000e+00 9.99997e-01 9.99997e-01
1.604180000e+00 9.99997e-01 9.99997e-01
1.604190000e+00 9.99997e-01 9.99997e-01
1.604200000e+00 9.99997e-01 9.99997e-01
1.604210000e+00 9.99997e-01 9.99997e-01
1.604220000e+00 9.99996e-01 9.99996e-01
1.604230000e+00 9.99996e-01 9.99996e-01
1.604240000e+00 9.99996e-01 9.99996e-01
1.604250000e+00 9.99995e-01 9.99995e-01
1.604260000e+00 9.99994e-01 9.99994e-01
1.604270000e+00 9.99993e-01 9.99993e-01
1.604280000e+00 9.99992e-01 9.99992e-01
1.604290000e+00 9.99990e-01 9.99990e-01
1.604300000e+00 9.99987e-01 9.99987e-01
1.604310000e+00 9.99982e-01 9.99982e-01
1.604320000e+00 9.99973e-01 9.99973e-01
1.604330000e+00 9.99955e-01 9.99955e-01
1.604340000e+00 9.99908e-01 9.99908e-01
1.604350000e+00 9.99721e-01 9.99721e-01
1.604360000e+00 9.99550e-01 9.99550e-01
1.604370000e+00 9.99717e-01 9.99717e-01
1.604380000e+00 9.99864e-01 9.99864e-01
1.604390000e+00 9.99905e-01 9.99905e-01
1.604400000e+00 9.99847e-01 9.99847e-01
1.604410000e+00 9.99838e-01 9.99838e-01
1.604420000e+00 9.99931e-01 9.99931e-01
1.604430000e+00 9.99966e-01 9.99966e-01
1.604440000e+00 9.99979e-01 9.99979e-01
1.604450000e+00 9.99985e-01 9.99985e-01
1.604460000e+00 9.99988e-01 9.99988e-01
1.604470000e+00 9.99990e-01 9.99990e-01
1.604480000e+00 9.99991e-01 9.99991e-01
1.604490000e+00 9.99991e-01 9.99991e-01
1.604500000e+00 9.99991e-01 9.99991e-01
1.604510000e+00 9.99991e-01 9.99991e-01
1.604520000e+00 9.99990e-01 9.99990e-01
