Wavelength (nm),Rx (dB),Tx (dB)
1525.465546,-55.8436091,-0.1932911
1525.468014,-53.974846,-0.0851875
1525.470483,-54.4532175,-0.1712578
1525.472952,-56.2186725,-0.107736
1525.47542,-56.1199719,-0.1702649
1525.477889,-51.7121169,-0.0965695
1525.480358,-54.3455931,-0.1543103
1525.482826,-52.9784068,-0.1201579
1525.485295,-52.6639623,-0.1770261
1525.487763,-51.2622304,-0.1209166
1525.490232,-51.5675548,-0.1595443
1525.492701,-51.8813361,-0.1265237
1525.495169,-49.9288253,-0.1515422
1525.497638,-49.58904,-0.1428549
1525.500107,-49.5826079,-0.1559474
1525.502575,-49.5665138,-0.1401949
1525.505044,-49.8122046,-0.1513564
1525.507512,-50.3057345,-0.1542725
1525.509981,-49.8971509,-0.1593234
1525.51245,-50.233247,-0.14563
1525.514918,-50.9400525,-0.141496
1525.517387,-50.3337103,-0.1504844
1525.519856,-49.1315402,-0.1467076
1525.522324,-49.117737,-0.1537962
1525.524793,-50.2355581,-0.1411872
1525.527262,-50.5770202,-0.1498486
1525.52973,-50.5415585,-0.126801
1525.532199,-50.7803911,-0.1460149
1525.534667,-50.7867771,-0.1359203
1525.537136,-50.349647,-0.1558249
1525.539605,-50.3693265,-0.1360686
1525.542073,-50.2685399,-0.1427686
1525.544542,-50.865801,-0.1283907
1525.547011,-50.4668068,-0.1485097
1525.549479,-50.3013683,-0.1328675
1525.551948,-50.066379,-0.1478021
1525.554417,-51.5505997,-0.1318297
1525.556885,-52.3587857,-0.150283
1525.559354,-52.6690583,-0.1163029
1525.561822,-55.7089019,-0.1423683
1525.564291,-55.5487859,-0.1252534
1525.56676,-56.7761909,-0.1390525
1525.569228,-54.4917869,-0.1206024
1525.571697,-55.1122894,-0.1508426
1525.574166,-56.0076582,-0.1185954
1525.576634,-54.6259475,-0.1282773
1525.579103,-55.3849373,-0.1146559
1525.581572,-56.3361598,-0.1313724
1525.58404,-55.5753234,-0.1247352
1525.586509,-54.5434484,-0.1364158
1525.588977,-54.4716427,-0.1242955
1525.591446,-55.2222948,-0.1271448
1525.593915,-54.984714,-0.1210776
1525.596383,-54.5934759,-0.1365233
1525.598852,-53.780338,-0.1234888
1525.601321,-54.1138322,-0.1299119
1525.603789,-53.2132369,-0.1242384
1525.606258,-52.8086281,-0.1274896
1525.608727,-52.0723905,-0.1363067
1525.611195,-51.6563493,-0.1366615
1525.613664,-51.5717591,-0.1304831
1525.616132,-51.54176,-0.1155769
1525.618601,-51.9212862,-0.1258475
1525.62107,-51.7301964,-0.1253608
1525.623538,-50.7844159,-0.1304565
1525.626007,-49.5742579,-0.1181718
1525.628476,-48.7295204,-0.1299617
1525.630944,-48.5002264,-0.1213464
1525.633413,-49.2723426,-0.1321905
1525.635881,-49.2296164,-0.1186971
1525.63835,-49.5152307,-0.1347065
1525.640819,-49.8714831,-0.1225928
1525.643287,-51.169731,-0.1358043
1525.645756,-51.5666256,-0.1402886
1525.648225,-53.7427118,-0.1308897
1525.650693,-51.0779362,-0.1150026
1525.653162,-52.954465,-0.1460766
1525.655631,-51.1148547,-0.1293441
1525.658099,-51.9979572,-0.1412687
1525.660568,-51.360515,-0.1281279
1525.663036,-51.225959,-0.1440947
1525.665505,-52.3173066,-0.1269554
1525.667974,-50.7905537,-0.1342701
1525.670442,-49.9921172,-0.1174281
1525.672911,-50.6106128,-0.1382638
1525.67538,-50.3178745,-0.1229821
1525.677848,-49.9250961,-0.1249802
1525.680317,-50.9159948,-0.1161626
1525.682786,-52.8118945,-0.1278157
1525.685254,-52.2480355,-0.1203671
1525.687723,-52.8270112,-0.1247096
1525.690191,-53.2128698,-0.1151016
1525.69266,-54.114815,-0.114174
1525.695129,-54.7256634,-0.1098387
1525.697597,-54.5544655,-0.1115913
1525.700066,-54.7694634,-0.1142668
1525.702535,-54.2013468,-0.1112151
1525.705003,-52.5393508,-0.1069734
1525.707472,-52.9026385,-0.0995126
1525.709941,-54.2510764,-0.1011511
1525.712409,-55.5667417,-0.0945219
1525.714878,-54.8523135,-0.1033077
1525.717346,-54.9685689,-0.0886889
1525.719815,-54.4037205,-0.0973671
1525.722284,-54.9209334,-0.0782014
1525.724752,-57.8381379,-0.0947768
1525.727221,-56.0162077,-0.0860231
1525.72969,-54.6668787,-0.086056
1525.732158,-54.2578306,-0.085711
1525.734627,-54.197598,-0.0831367
1525.737096,-54.888765,-0.0798002
1525.739564,-53.2573348,-0.0983098
1525.742033,-53.843321,-0.0726119
1525.744501,-54.7527838,-0.0837469
1525.74697,-53.8719016,-0.068423
1525.749439,-55.6060277,-0.0760729
1525.751907,-56.5625864,-0.067507
1525.754376,-54.2710814,-0.0930749
1525.756845,-54.5202414,-0.0725476
1525.759313,-55.8224897,-0.0869895
1525.761782,-55.3395636,-0.0583814
1525.764251,-53.7989536,-0.0743333
1525.766719,-56.47594,-0.0672917
1525.769188,-55.3363267,-0.0663079
1525.771656,-55.1628197,-0.0602216
1525.774125,-54.7750881,-0.0759446
1525.776594,-54.4680123,-0.0766176
1525.779062,-54.2419615,-0.078781
1525.781531,-53.948049,-0.0728874
1525.784,-54.2500147,-0.0811254
1525.786468,-53.5076946,-0.0703324
1525.788937,-52.8514759,-0.0691259
1525.791405,-52.8587576,-0.0666265
1525.793874,-52.8016719,-0.0638162
1525.796343,-52.3183804,-0.0613762
1525.798811,-52.8567745,-0.0682149
1525.80128,-51.3071927,-0.0628077
1525.803749,-50.7713158,-0.0648153
1525.806217,-52.1239707,-0.07723
1525.808686,-51.9264657,-0.0741088
1525.811155,-50.0118688,-0.0738771
1525.813623,-50.2698366,-0.070013
1525.816092,-49.5242735,-0.0794228
1525.81856,-48.4399409,-0.0669605
1525.821029,-48.09289,-0.0772153
1525.823498,-48.7920117,-0.0695049
1525.825966,-47.7362627,-0.0672942
1525.828435,-48.1536562,-0.0629295
1525.830904,-47.1841733,-0.0791449
1525.833372,-47.9989377,-0.070663
1525.835841,-47.7773206,-0.0800958
1525.83831,-47.0291902,-0.0758267
1525.840778,-47.3935999,-0.0783587
1525.843247,-48.2235713,-0.0654533
1525.845715,-49.6170301,-0.0762189
1525.848184,-49.3187461,-0.0725935
1525.850653,-51.0958972,-0.0694173
1525.853121,-49.4394892,-0.0626755
1525.85559,-50.2811208,-0.05609
1525.858059,-50.2444639,-0.0513143
1525.860527,-51.8494291,-0.070292
1525.862996,-51.6007181,-0.0518501
1525.865465,-52.210996,-0.0625359
1525.867933,-52.2361715,-0.0517984
1525.870402,-52.1782235,-0.0598933
1525.87287,-51.0392551,-0.0541218
1525.875339,-50.4608064,-0.0515011
1525.877808,-51.2023249,-0.047917
1525.880276,-51.1325545,-0.048314
1525.882745,-51.0388153,-0.0511237
1525.885214,-51.0203513,-0.0507207
1525.887682,-50.193962,-0.043453
1525.890151,-49.915275,-0.0419461
1525.89262,-49.8719852,-0.0436777
1525.895088,-48.7275047,-0.0506355
1525.897557,-49.1607647,-0.0468309
1525.900025,-48.5440176,-0.0478967
1525.902494,-48.4980092,-0.0528989
1525.904963,-47.2010767,-0.0455145
1525.907431,-47.5640487,-0.0513409
1525.9099,-49.1710376,-0.049452
1525.912369,-47.9973171,-0.0502499
1525.914837,-48.0456632,-0.0487841
1525.917306,-48.5112164,-0.051581
1525.919774,-49.7381602,-0.048006
1525.922243,-49.1964169,-0.0538649
1525.924712,-49.8560617,-0.0428635
1525.92718,-48.8824383,-0.0599056
1525.929649,-49.4225466,-0.0429762
1525.932118,-49.6672675,-0.0433216
1525.934586,-51.9119294,-0.045559
1525.937055,-50.0770583,-0.0638097
1525.939524,-52.7190768,-0.0452057
1525.941992,-50.8343545,-0.0362175
1525.944461,-50.7940212,-0.0492771
1525.946929,-51.2135665,-0.0473602
1525.949398,-52.215451,-0.0364611
1525.951867,-52.4413367,-0.0516108
1525.954335,-50.8197438,-0.0448895
1525.956804,-50.5479883,-0.043764
1525.959273,-50.5919699,-0.0406229
1525.961741,-49.9239748,-0.0379846
1525.96421,-49.3453611,-0.0307099
1525.966679,-48.5050501,-0.0314771
1525.969147,-49.5129103,-0.0345044
1525.971616,-47.7322762,-0.0401231
1525.974084,-47.4884907,-0.0345879
1525.976553,-48.1017595,-0.0305798
1525.979022,-49.4662561,-0.035002
1525.98149,-49.5637889,-0.0347641
1525.983959,-49.4123022,-0.0332785
1525.986428,-49.2708836,-0.0351765
1525.988896,-49.4810202,-0.0314567
1525.991365,-49.5781404,-0.0217852
1525.993834,-49.8070176,-0.030019
1525.996302,-50.4586175,-0.0346972
1525.998771,-50.6955421,-0.0288179
1526.001239,-52.6502041,-0.0357734
1526.003708,-52.4521713,-0.0357408
1526.006177,-50.6257354,-0.0280382
1526.008645,-51.1810731,-0.0268297
1526.011114,-50.3718381,-0.0249661
1526.013583,-50.6952872,-0.0361688
1526.016051,-50.2882619,-0.0260687
1526.01852,-49.9707738,-0.0255111
1526.020989,-50.053486,-0.0163819
1526.023457,-50.5057437,-0.0295243
1526.025926,-49.4333441,-0.0173315
1526.028394,-49.1028719,-0.0238718
1526.030863,-48.7106024,-0.0246007
1526.033332,-50.349065,-0.0294231
1526.0358,-50.6577042,-0.0168971
1526.038269,-49.2811145,-0.0121924
1526.040738,-49.0534426,-0.0189105
1526.043206,-50.8964727,-0.0246912
1526.045675,-49.6293994,-0.0079796
