Wavelength (nm),Rx (dB),Tx (dB)
1525.50909,-53.4492158,-0.1729016
1525.511526,-55.3509339,-0.1237665
1525.513963,-50.9955597,-0.1551669
1525.516399,-50.8532763,-0.1198919
1525.518836,-48.1751887,-0.1588889
1525.521272,-47.8161803,-0.1188195
1525.523709,-46.4601805,-0.1440486
1525.526145,-44.0703721,-0.1218163
1525.528582,-44.1439184,-0.1339885
1525.531018,-42.0425143,-0.1319127
1525.533454,-41.8035045,-0.1366108
1525.535891,-40.9464318,-0.1285609
1525.538327,-40.8815633,-0.1382076
1525.540764,-40.4669984,-0.1259352
1525.5432,-40.0475308,-0.1349203
1525.545637,-40.5588532,-0.1221535
1525.548073,-39.9571181,-0.1366283
1525.55051,-40.3741314,-0.1359732
1525.552946,-40.9876199,-0.1366717
1525.555383,-41.2381439,-0.1177192
1525.557819,-41.8904947,-0.1185417
1525.560256,-42.0345242,-0.1241273
1525.562692,-43.1479946,-0.1319154
1525.565129,-43.9707941,-0.1250403
1525.567565,-45.9702383,-0.119482
1525.570002,-47.370384,-0.1310561
1525.572438,-48.4795682,-0.1335967
1525.574875,-49.2721842,-0.1271993
1525.577311,-51.6935675,-0.1224132
1525.579748,-53.7754162,-0.1226763
1525.582184,-54.1798129,-0.1108828
1525.58462,-54.5577304,-0.1144821
1525.587057,-54.2483307,-0.1131538
1525.589493,-53.8207168,-0.1106575
1525.59193,-53.9816108,-0.1166596
1525.594366,-54.1075709,-0.1204617
1525.596803,-52.9585917,-0.1180848
1525.599239,-50.6968331,-0.1208003
1525.601676,-50.4418181,-0.120821
1525.604112,-48.6127414,-0.118157
1525.606549,-45.8137133,-0.1187065
1525.608985,-43.3981003,-0.1240456
1525.611422,-41.5311245,-0.1207227
1525.613858,-40.3467297,-0.1198207
1525.616295,-39.1161642,-0.1292485
1525.618731,-37.9841121,-0.124363
1525.621168,-37.0529624,-0.1157284
1525.623604,-36.5024377,-0.1128298
1525.626041,-36.0776783,-0.1208077
1525.628477,-36.2092529,-0.1185901
1525.630914,-36.2146655,-0.1218913
1525.63335,-36.3194167,-0.108421
1525.635786,-36.6344941,-0.1172043
1525.638223,-36.6484398,-0.1100233
1525.640659,-36.6151007,-0.1166984
1525.643096,-35.7765013,-0.1085809
1525.645532,-34.103605,-0.1155309
1525.647969,-32.1869576,-0.1194972
1525.650405,-29.87745,-0.128021
1525.652842,-27.6492691,-0.1177137
1525.655278,-25.6862003,-0.1207574
1525.657715,-23.7969852,-0.1235917
