Wavelength (nm),Rx (dB),Tx (dB)
1525.50909,-46.1021188,-0.253032
1525.511526,-44.097299,-0.0562985
1525.513963,-42.6995132,-0.2278322
1525.516399,-40.7170687,-0.0597949
1525.518836,-40.5710048,-0.2183323
1525.521272,-38.7835593,-0.0782531
1525.523709,-38.9584525,-0.1934374
1525.526145,-37.8528908,-0.0997723
1525.528582,-37.4218429,-0.1823405
1525.531018,-37.4989555,-0.1049547
1525.533454,-37.7225802,-0.1569573
1525.535891,-38.3813911,-0.1014608
1525.538327,-39.3425256,-0.1805846
1525.540764,-41.1615836,-0.121565
1525.5432,-44.3050082,-0.1789762
1525.545637,-46.6210022,-0.1235174
1525.548073,-43.0648519,-0.159928
1525.55051,-37.9862668,-0.1249769
1525.552946,-33.6923631,-0.1644681
1525.555383,-30.7232123,-0.1270458
1525.557819,-27.8871373,-0.1658495
1525.560256,-25.6682416,-0.138829
1525.562692,-23.521432,-0.1685758
1525.565129,-21.7396908,-0.1384959
1525.567565,-20.2092993,-0.1823182
1525.570002,-18.7461861,-0.175709
1525.572438,-17.3733553,-0.2208108
1525.574875,-16.1305083,-0.2254881
1525.577311,-14.9843516,-0.2712177
1525.579748,-13.933982,-0.2733585
1525.582184,-12.9489844,-0.3264402
1525.58462,-12.0676208,-0.3738106
1525.587057,-11.2410716,-0.4178007
1525.589493,-10.4836894,-0.4602289
1525.59193,-9.7794708,-0.5340614
1525.594366,-9.1292255,-0.5959619
1525.596803,-8.5349122,-0.6724783
1525.599239,-7.9809354,-0.7440023
1525.601676,-7.4926441,-0.8147571
1525.604112,-7.0331606,-0.899569
1525.606549,-6.6153345,-0.9917581
1525.608985,-6.2417053,-1.0780937
1525.611422,-5.8908271,-1.1643442
1525.613858,-5.5969904,-1.2526004
1525.616295,-5.3305736,-1.3214025
1525.618731,-5.0859482,-1.3959507
1525.621168,-4.8658248,-1.4683731
1525.623604,-4.683784,-1.5483564
1525.626041,-4.5129917,-1.6032109
1525.628477,-4.3821472,-1.6647955
1525.630914,-4.269422,-1.6893863
1525.63335,-4.186048,-1.740369
1525.635786,-4.1119315,-1.7561642
1525.638223,-4.0542282,-1.7978261
1525.640659,-4.0414987,-1.7964028
1525.643096,-4.0307568,-1.8069215
1525.645532,-4.049625,-1.7825282
1525.647969,-4.0920248,-1.7800593
1525.650405,-4.1478274,-1.7360064
1525.652842,-4.2185757,-1.7221837
1525.655278,-4.3245423,-1.6416186
1525.657715,-4.4389689,-1.6170569
1525.660151,-4.5609769,-1.5457126
1525.662588,-4.723494,-1.4969218
1525.665024,-4.9365828,-1.4137989
1525.667461,-5.1480295,-1.3580337
1525.669897,-5.3987203,-1.2525133
1525.672334,-5.6674707,-1.1925706
1525.67477,-5.9864778,-1.0927329
1525.677207,-6.3355442,-1.028668
1525.679643,-6.7029076,-0.9135429
1525.68208,-7.0996072,-0.8554767
1525.684516,-7.581034,-0.7570934
1525.686952,-8.0805081,-0.7203833
1525.689389,-8.5778521,-0.6025379
1525.691825,-9.2182483,-0.5745654
1525.694262,-9.8428506,-0.4647879
1525.696698,-10.472779,-0.4432146
1525.699135,-11.2578652,-0.3669724
1525.701571,-12.0520827,-0.3550575
1525.704008,-12.9234949,-0.2528479
1525.706444,-13.8011112,-0.2711695
1525.708881,-14.8035117,-0.2196516
1525.711317,-15.8439084,-0.2097518
1525.713754,-16.9639226,-0.1624495
1525.71619,-18.1895566,-0.1559373
1525.718627,-19.4069092,-0.1298645
1525.721063,-20.8285344,-0.1491973
1525.7235,-22.3108972,-0.1128238
1525.725936,-23.8154761,-0.1218171
1525.728373,-25.678411,-0.1078392
1525.730809,-27.4089634,-0.1106391
1525.733246,-29.3497631,-0.1081855
1525.735682,-31.4690725,-0.1108309
1525.738118,-34.0105532,-0.0999726
1525.740555,-36.8903242,-0.0964635
1525.742991,-39.335303,-0.0851613
1525.745428,-41.889752,-0.0927786
1525.747864,-43.6251792,-0.0885438
1525.750301,-43.5847692,-0.0935184
1525.752737,-43.5222892,-0.0876687
1525.755174,-42.4480823,-0.0968933
1525.75761,-41.0987092,-0.0847904
1525.760047,-40.2299813,-0.0829116
1525.762483,-40.3147972,-0.0805053
1525.76492,-39.8742658,-0.0880957
1525.767356,-39.0418751,-0.0805219
1525.769793,-38.7216338,-0.0878404
1525.772229,-37.9271164,-0.0900688
1525.774666,-37.7601701,-0.0892452
1525.777102,-37.6953528,-0.0775713
1525.779539,-37.3472145,-0.0739237
1525.781975,-37.7619298,-0.0763506
1525.784412,-38.1200438,-0.0750782
1525.786848,-38.5715853,-0.0732882
1525.789284,-38.4601088,-0.0801731
1525.791721,-38.7924294,-0.0695268
1525.794157,-39.5516772,-0.0662008
1525.796594,-40.1833403,-0.0818393
1525.79903,-40.6313932,-0.0816253
1525.801467,-41.034265,-0.0736059
1525.803903,-42.1263874,-0.0697118
1525.80634,-43.5671833,-0.0734939
1525.808776,-44.0200529,-0.0855877
1525.811213,-44.8589609,-0.0910373
1525.813649,-45.3885634,-0.0861987
1525.816086,-45.7276872,-0.0890283
1525.818522,-46.531301,-0.07858
1525.820959,-45.4416984,-0.0815112
1525.823395,-44.6251803,-0.0792682
1525.825832,-43.4034185,-0.0790306
1525.828268,-43.0345895,-0.0822644
1525.830705,-42.7345319,-0.0785988
1525.833141,-42.0331545,-0.0701911
1525.835578,-42.7448971,-0.0754439
1525.838014,-43.067262,-0.0755508
1525.840451,-43.2901925,-0.0805895
1525.842887,-43.5751635,-0.0761853
1525.845323,-44.212366,-0.0802979
