Wavelength (nm),Rx (dB),Tx (dB)
1525.465546,-52.2095564,-0.2108562
1525.468014,-53.4673273,-0.1158017
1525.470483,-53.6320169,-0.1965963
1525.472952,-52.1886082,-0.1336449
1525.47542,-51.3013851,-0.1863907
1525.477889,-50.9915552,-0.1321869
1525.480358,-49.4066515,-0.1762969
1525.482826,-49.4771215,-0.1536483
1525.485295,-49.3137664,-0.166282
1525.487763,-49.1235319,-0.145531
1525.490232,-49.0707446,-0.1728985
1525.492701,-48.8544573,-0.1487463
1525.495169,-47.9479162,-0.1735587
1525.497638,-47.6869456,-0.1711934
1525.500107,-47.4597951,-0.1733412
1525.502575,-45.5205641,-0.1614179
1525.505044,-46.4751463,-0.1760224
1525.507512,-47.1831596,-0.1697809
1525.509981,-46.6769128,-0.173168
1525.51245,-46.1054428,-0.1621616
1525.514918,-46.0314678,-0.1641063
1525.517387,-45.6165167,-0.1698401
1525.519856,-45.8009494,-0.1655678
1525.522324,-46.5924123,-0.1719852
1525.524793,-47.1362609,-0.1738062
1525.527262,-47.4395894,-0.1697008
1525.52973,-48.4307966,-0.1634335
1525.532199,-47.8392875,-0.1730985
1525.534667,-46.7731914,-0.1781483
1525.537136,-47.7555098,-0.1725175
1525.539605,-47.4892245,-0.1505684
1525.542073,-47.616903,-0.1610845
1525.544542,-49.5899385,-0.146548
1525.547011,-46.9793601,-0.1694561
1525.549479,-47.9745439,-0.1780029
1525.551948,-49.0871934,-0.1619472
1525.554417,-49.2557716,-0.164164
1525.556885,-48.4416592,-0.1566411
1525.559354,-50.7333711,-0.1660655
1525.561822,-49.2325631,-0.1473112
1525.564291,-48.3390283,-0.1625941
1525.56676,-48.7793734,-0.1677831
1525.569228,-46.919648,-0.1590145
1525.571697,-47.4876328,-0.1694032
1525.574166,-47.8287191,-0.1647949
1525.576634,-47.6312094,-0.1633995
1525.579103,-48.1857334,-0.1659405
1525.581572,-47.6503308,-0.1587623
1525.58404,-47.8153687,-0.1609993
1525.586509,-47.8786189,-0.1682046
1525.588977,-48.9268395,-0.1713475
1525.591446,-48.6572008,-0.165916
1525.593915,-47.3221923,-0.163994
1525.596383,-46.5772314,-0.1622173
1525.598852,-46.9968553,-0.1594063
1525.601321,-47.8070488,-0.1638367
1525.603789,-48.6741539,-0.163768
1525.606258,-47.1880682,-0.1643791
1525.608727,-46.6865136,-0.1693629
1525.611195,-46.9786364,-0.1780626
1525.613664,-46.8210142,-0.1644455
1525.616132,-46.7491343,-0.1656549
1525.618601,-46.7897352,-0.1651737
1525.62107,-46.4677963,-0.1676586
1525.623538,-46.4865391,-0.1729879
1525.626007,-47.0481621,-0.1752165
1525.628476,-46.39973,-0.1652562
1525.630944,-46.5251159,-0.1589133
1525.633413,-46.323991,-0.1430107
1525.635881,-47.0733172,-0.1526139
1525.63835,-47.4512022,-0.1510724
1525.640819,-47.4625419,-0.1632154
1525.643287,-46.5281608,-0.1613957
1525.645756,-46.2164202,-0.1602193
1525.648225,-47.5236978,-0.1542649
1525.650693,-47.6945988,-0.1846286
1525.653162,-48.3421727,-0.1447242
1525.655631,-48.4105205,-0.1594346
1525.658099,-48.2604999,-0.1582131
1525.660568,-48.2647485,-0.1703191
1525.663036,-48.8145866,-0.1496306
1525.665505,-48.7724775,-0.1574733
1525.667974,-49.6145336,-0.1513289
1525.670442,-50.4676644,-0.1500155
1525.672911,-51.1073581,-0.138954
1525.67538,-50.5897534,-0.1457895
1525.677848,-49.9683672,-0.1432657
1525.680317,-50.1727737,-0.1466279
1525.682786,-49.554884,-0.1428231
1525.685254,-50.5115334,-0.1450423
