Wavelength (nm),Rx (dB),Tx (dB)
1525.50909,-53.8055886,-0.2070252
1525.511526,-52.714109,-0.0748589
1525.513963,-51.6845787,-0.1980604
1525.516399,-50.5928597,-0.0876633
1525.518836,-47.3468491,-0.1698727
1525.521272,-46.6168818,-0.0940147
1525.523709,-46.2658287,-0.174609
1525.526145,-44.746893,-0.0985084
1525.528582,-43.8493376,-0.1613664
1525.531018,-43.3508465,-0.1289161
1525.533454,-42.4551792,-0.1687052
1525.535891,-42.6092971,-0.1197096
1525.538327,-42.4420605,-0.1589336
1525.540764,-42.3324847,-0.1126096
1525.5432,-42.445352,-0.1459314
1525.545637,-43.1337058,-0.1124534
1525.548073,-43.666256,-0.1533165
1525.55051,-44.3520669,-0.1136666
1525.552946,-45.4510979,-0.1501632
1525.555383,-46.2439771,-0.1146064
1525.557819,-47.330536,-0.1544506
1525.560256,-48.4552265,-0.135007
1525.562692,-49.3071558,-0.1503568
1525.565129,-49.8119018,-0.1207808
1525.567565,-48.0377094,-0.137273
1525.570002,-46.579095,-0.1307533
1525.572438,-45.2884886,-0.1463497
1525.574875,-44.9402374,-0.1331397
1525.577311,-44.1809285,-0.1372757
1525.579748,-43.5495366,-0.112861
1525.582184,-42.8717239,-0.1293151
1525.58462,-42.928903,-0.1251048
1525.587057,-43.3431143,-0.1371815
1525.589493,-43.7663111,-0.1332525
1525.59193,-43.6723875,-0.1324522
1525.594366,-44.0869679,-0.1279529
1525.596803,-43.9350522,-0.134208
1525.599239,-43.4484277,-0.1236301
1525.601676,-42.6318476,-0.1261067
1525.604112,-41.3989622,-0.1290376
1525.606549,-40.502902,-0.1325329
1525.608985,-39.0258424,-0.1317493
1525.611422,-38.0116398,-0.1327071
1525.613858,-37.1140462,-0.142952
1525.616295,-36.3296569,-0.1335484
1525.618731,-36.0142686,-0.1285486
1525.621168,-35.5096862,-0.1207374
1525.623604,-35.6448678,-0.1282199
1525.626041,-35.586869,-0.1260016
1525.628477,-36.0392121,-0.1284068
1525.630914,-37.6242508,-0.1178393
1525.63335,-39.9535084,-0.1330579
1525.635786,-44.071352,-0.1268946
1525.638223,-49.0123647,-0.1351733
1525.640659,-44.2465241,-0.1254584
1525.643096,-37.6283026,-0.1252912
1525.645532,-33.0685093,-0.1193009
1525.647969,-29.6790116,-0.1433692
1525.650405,-26.9519542,-0.1399997
1525.652842,-24.7749657,-0.1478549
1525.655278,-22.761549,-0.122356
1525.657715,-21.0138069,-0.1543895
1525.660151,-19.4063791,-0.1501761
1525.662588,-17.9697391,-0.2024867
