3/04/2024,2:39:49 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1600,-0.08427
1600.01,-0.08496
1600.02,-0.08476
1600.03,-0.08519
1600.04,-0.08503
1600.05,-0.08429
1600.06,-0.0852
1600.07,-0.08474
1600.08,-0.08491
1600.09,-0.0842
1600.1,-0.08509
1600.11,-0.08515
1600.12,-0.08477
1600.13,-0.08488
1600.14,-0.08519
1600.15,-0.0851
1600.16,-0.08505
1600.17,-0.08497
1600.18,-0.08441
1600.19,-0.08513
1600.2,-0.08503
1600.21,-0.0849
1600.22,-0.08382
1600.23,-0.08567
1600.24,-0.08418
1600.25,-0.08568
1600.26,-0.08466
1600.27,-0.0852
1600.28,-0.08517
1600.29,-0.08469
1600.3,-0.08516
1600.31,-0.08514
1600.32,-0.08505
1600.33,-0.08519
1600.34,-0.08518
1600.35,-0.08566
1600.36,-0.0845
1600.37,-0.08499
1600.38,-0.0853
1600.39,-0.08516
1600.4,-0.08531
1600.41,-0.0851
1600.42,-0.08516
1600.43,-0.08568
1600.44,-0.08537
1600.45,-0.08506
1600.46,-0.08554
1600.47,-0.08522
1600.48,-0.0856
1600.49,-0.08569
1600.5,-0.08542
1600.51,-0.08572
1600.52,-0.08563
1600.53,-0.08524
1600.54,-0.08506
1600.55,-0.08575
1600.56,-0.08571
1600.57,-0.08562
1600.58,-0.08559
1600.59,-0.0862
1600.6,-0.0856
1600.61,-0.08579
1600.62,-0.0857
1600.63,-0.08599
1600.64,-0.08522
1600.65,-0.08599
1600.66,-0.08574
1600.67,-0.08578
1600.68,-0.08586
1600.69,-0.08566
1600.7,-0.08531
1600.71,-0.08678
1600.72,-0.08543
1600.73,-0.08575
1600.74,-0.08527
