3/04/2024,1:55:00 PM
Software,STS IL/PDL,IL,Normal,1.3.3.0
TSL,SANTEC,TSL-570,23020004,0022.0017.0009
PowerMeter,SANTEC,MPM-210H,23020023,Ver.1.19
,Module0,MPM-211,23020025M211,Ver.1.22
Power Monitor,DAQ
Start,1600,nm
Stop,1680,nm
Step,0.01,nm
Speed,20,nm/s
Source Power,10,dBm
Averaging Time,0.5,msec
Power meter range,23020025M211,(Ch1),-30～+10dBm,-40～ 0dBm
--HEADER END--
--DATA START--
Wavelength(nm),IL_M1_S0_CH1
1600,-0.11886
1600.01,-0.11972
1600.02,-0.11934
1600.03,-0.11972
1600.04,-0.11888
1600.05,-0.11834
1600.06,-0.11912
1600.07,-0.11851
1600.08,-0.11874
1600.09,-0.1186
1600.1,-0.11903
1600.11,-0.11899
1600.12,-0.11934
1600.13,-0.11889
1600.14,-0.11907
1600.15,-0.11885
1600.16,-0.1185
1600.17,-0.1183
1600.18,-0.1183
1600.19,-0.11913
1600.2,-0.11865
1600.21,-0.1188
1600.22,-0.1189
1600.23,-0.11901
1600.24,-0.11878
1600.25,-0.11961
1600.26,-0.11845
1600.27,-0.11875
1600.28,-0.11877
1600.29,-0.11856
1600.3,-0.11862
1600.31,-0.11899
1600.32,-0.11878
1600.33,-0.11913
1600.34,-0.11936
1600.35,-0.11894
1600.36,-0.11878
1600.37,-0.11865
1600.38,-0.11878
1600.39,-0.11831
1600.4,-0.11865
1600.41,-0.11861
1600.42,-0.11878
1600.43,-0.11933
1600.44,-0.11859
1600.45,-0.11888
1600.46,-0.11862
1600.47,-0.11867
1600.48,-0.11848
1600.49,-0.11876
1600.5,-0.11826
1600.51,-0.11806
1600.52,-0.11848
1600.53,-0.11839
1600.54,-0.11821
1600.55,-0.11868
1600.56,-0.11899
1600.57,-0.11829
1600.58,-0.11887
1600.59,-0.11903
1600.6,-0.11821
1600.61,-0.11802
1600.62,-0.11804
1600.63,-0.11789
1600.64,-0.11809
1600.65,-0.11805
1600.66,-0.118
1600.67,-0.1187
1600.68,-0.11862
1600.69,-0.11866
1600.7,-0.11806
1600.71,-0.11878
1600.72,-0.11724
1600.73,-0.11814
1600.74,-0.11764
